title,url,img_url,discount_rate,author,author_link,duration,price
 آموزش پکیج های کاربردی و مفید در فریم ورک لاراول ,https://toplearn.com/courses/web/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%BE%DA%A9%DB%8C%D8%AC-%D9%87%D8%A7%DB%8C-%DA%A9%D8%A7%D8%B1%D8%A8%D8%B1%D8%AF%DB%8C-%D9%88-%D9%85%D9%81%DB%8C%D8%AF-%D8%AF%D8%B1-%D9%81%D8%B1%DB%8C%D9%85-%D9%88%D8%B1%DA%A9-%D9%84%D8%A7%D8%B1%D8%A7%D9%88%D9%84,https://toplearn.com/img/course/400x286/آموزش_پکیج_های_کاربردی_و_مفید_در_فریم_ورک_لاراول.jpg,, عظیمی ,https://toplearn.com/masters/hoseinazimi, 2:17:00 ," 105,000 "
 آموزش ساخت وبسایت آموزشی (فروشگاهی) با PHP ,https://toplearn.com/courses/web/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%B3%D8%A7%D8%AE%D8%AA-%D9%88%D8%A8%D8%B3%D8%A7%DB%8C%D8%AA-%D8%A2%D9%85%D9%88%D8%B2%D8%B4%DB%8C-(%D9%81%D8%B1%D9%88%D8%B4%DA%AF%D8%A7%D9%87%DB%8C)-%D8%A8%D8%A7-PHP,https://toplearn.com/img/course/400x286/آموزش_ساخت_وبسایت_آموزشی_(فروشگاهی)_با_PHP.jpg,50% , باغ شیخی ,https://toplearn.com/masters/moeinbaghsheikhi, 51:45:00 ," 105,000 "
 آموزش PHP 8.2 و ترفند های PHP ,https://toplearn.com/courses/web/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-PHP-82-%D9%88-%D8%AA%D8%B1%D9%81%D9%86%D8%AF-%D9%87%D8%A7%DB%8C-PHP,https://toplearn.com/img/course/400x286/آموزش_PHP_8.2__و_ترفند_های_PHP.jpg,, خسروی ,https://toplearn.com/masters/milad16, 1:45:00 , رایگانـ 
 آموزش پروژه محور دارت و فلاتر مقدماتی ,https://toplearn.com/courses/mobile/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%BE%D8%B1%D9%88%DA%98%D9%87-%D9%85%D8%AD%D9%88%D8%B1-%D8%AF%D8%A7%D8%B1%D8%AA-%D9%88-%D9%81%D9%84%D8%A7%D8%AA%D8%B1-%D9%85%D9%82%D8%AF%D9%85%D8%A7%D8%AA%DB%8C,https://toplearn.com/img/course/400x286/آموزش_پروژه_محور_دارت_و_فلاتر_مقدماتی.jpg,, حسینی ,https://toplearn.com/masters/mohammadinfo, 8:59:00 , رایگانـ 
 کنترل بازوی ربات توسط نرم افزار متلب MATLAB ,https://toplearn.com/courses/windows/%DA%A9%D9%86%D8%AA%D8%B1%D9%84-%D8%A8%D8%A7%D8%B2%D9%88%DB%8C-%D8%B1%D8%A8%D8%A7%D8%AA-%D8%AA%D9%88%D8%B3%D8%B7-%D9%86%D8%B1%D9%85-%D8%A7%D9%81%D8%B2%D8%A7%D8%B1-%D9%85%D8%AA%D9%84%D8%A8-MATLAB,https://toplearn.com/img/course/400x286/کنترل_بازوی_ربات_توسط_نرم_افزار_متلب_MATLAB.jpg,, فرض اللهی ,https://toplearn.com/masters/arminfarzolahi, 2:34:00 , رایگانـ 
 آموزش مقدماتی برنامه نویسی PLC دلتا ,https://toplearn.com/courses/electronic/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D9%85%D9%82%D8%AF%D9%85%D8%A7%D8%AA%DB%8C-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-PLC-%D8%AF%D9%84%D8%AA%D8%A7,https://toplearn.com/img/course/400x286/آموزش_مقدماتی_برنامه_نویسی_PLC_دلتا.jpg,, رحمدلی ,https://toplearn.com/masters/mohsenrahmdeli, 3:53:00 , رایگانـ 
 70 پروژه وب با جاوااسکریپت ,https://toplearn.com/courses/web-design/70-%D9%BE%D8%B1%D9%88%DA%98%D9%87-%D9%88%D8%A8-%D8%A8%D8%A7-%D8%AC%D8%A7%D9%88%D8%A7%D8%A7%D8%B3%DA%A9%D8%B1%DB%8C%D9%BE%D8%AA,https://toplearn.com/img/course/400x286/70_پروژه_وب_با_جاوااسکریپت.jpg,35% , معصومی ,https://toplearn.com/masters/farzad_msi16, 41:39:00 , رایگانـ 
 آموزش Web Scraping با Nodejs ,https://toplearn.com/courses/windows/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-Web-Scraping-%D8%A8%D8%A7-Nodejs,https://toplearn.com/img/course/400x286/آموزش_Web_Scraping_با_Nodejs.jpg,, ملک زاد ,https://toplearn.com/masters/m-malekzad, 4:30:00 , رایگانـ 
 آموزش Microservice در Net Core. ,https://toplearn.com/courses/web/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-Microservice-%D8%AF%D8%B1-Net-Core,https://toplearn.com/img/course/400x286/آموزش_Microservice_در_Net_Core..jpg,40% , اردوخانی ,https://toplearn.com/masters/1375ordomohammad, 18:32:00 , رایگانـ 
 آموزش برنامه نویسی اندروید از پایه تا پیشرفته ,https://toplearn.com/courses/mobile/%D8%A2%D9%85%D9%88%D8%B2%D8%B4-%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D9%87-%D9%86%D9%88%DB%8C%D8%B3%DB%8C-%D8%A7%D9%86%D8%AF%D8%B1%D9%88%DB%8C%D8%AF-%D8%A7%D8%B2-%D9%BE%D8%A7%DB%8C%D9%87-%D8%AA%D8%A7-%D9%BE%DB%8C%D8%B4%D8%B1%D9%81%D8%AA%D9%87,https://toplearn.com/img/course/400x286/آموزش_برنامه_نویسی_اندروید_از_پایه_تا_پیشرفته.jpg,56% , مرادی ,https://toplearn.com/masters/sajjad.m, 69:13:00 , رایگانـ 
